Mold Management,模具管理,
Mold,模具,
Mold Name,模具名称,
Mold Type,模具类型,
Mold Status,模具状态,
Mold Dashboard,模具看板,
Mold Operations Dashboard,模具运营看板,
Mold Management Dashboard,模具管理看板,
Mold Management Settings,模具管理设置,
Mold Storage Board,模具库位看板,
Mold Storage Location,模具存放位置,
Mold Storage Log,模具存放日志,
Mold Activity Log,模具活动日志,
Mold Alteration,模具改模,
Mold Alteration History,模具改模历史,
Mold Default Material,模具默认材料,
Mold Material Lookup,模具材料查询,
Mold Outsource,模具外发,
Mold Product,模具产品,
Mold Products,模具产品明细,
Mold Spare Part,模具备件,
Mold Spare Part Mold,模具备件适用模具,
Mold Spare Part Usage,模具备件使用记录,
Molds By Item,按物料查询模具,
Molds for {0},{0} 的模具,
Master Data,主数据,
Transactions,业务单据,
Reports,报表,
Storage Board,库位看板,
Dashboard,仪表板,
View,查看,
View Logs,查看日志,
View Molds,查看模具,
View Spare Parts,查看备件,
Open Mold,打开模具,
Open Report,打开报表,
Open Activity Report,打开活动报表,
Activity Report,活动报表,
Open Related Document,打开关联单据,
Open Related,打开关联单据,
Open Storage Slots,打开库位,
Refresh,刷新,
Open Board,打开看板,
Actions,操作,
Action,操作,
Action Blocked,操作被阻止,
Create,创建,
Close,关闭,
Confirm,确认,
Continue,继续,
Return,归还,
Transfer,转移,
Issue,领用,
Repair,维修,
Maintenance,保养,
Outsource,外发,
Alteration,改模,
Scrap,报废,
Use Mold,使用模具,
Use Spare Part,消耗备件,
Print Label,打印标签,
Print A4 Label,打印汇总标签,
Scan Mold Barcode,扫描模具条码,
Scan Another Mold,继续扫描其他模具,
Camera Scan,相机扫码,
Create / Link Asset,创建/关联资产,
Asset Setup,资产建档,
Create Return Receipt,创建归还收货,
Return Outsource,外发归还,
Return Outsource First,请先归还外发模具,
Mark Returned,标记为已归还,
Cancel Basic Info Edit,取消基础信息编辑,
Cancel Edit,取消编辑,
Basic Info Edit,基础信息编辑,
Edit Basic Info,编辑基础信息,
Basic Info Edit is active,基础信息编辑已启用,
Basic Info Edit Roles,基础信息编辑角色,
Basic Information,基础信息,
Basic Identity,基础标识,
Engineering,工程信息,
Dimensions,尺寸信息,
Details,详情,
Description,说明,
Notes,备注,
Remarks,备注,
Summary,摘要,
Reason,原因,
Attachment,附件,
Reference,引用信息,
Reference Doctype,引用单据类型,
Reference Name,引用单据名称,
Version,版本,
Version Progression,版本推进规则,
Current Version,当前版本,
From Version,起始版本,
To Version,目标版本,
Alteration Type,改模类型,
Alteration Date,改模日期,
Alteration Print Format,改模确认打印格式,
TPR Reference,TPR单号,
MCR Reference,MCR单号,
Change Details,变更详情,
Lifecycle,生命周期,
Asset & Lifecycle,资产与生命周期,
Linked Asset,关联资产,
Asset,资产,
Asset Guardrails,资产管控,
Asset Value,资产价值,
Asset Value Required,需要资产价值,
Asset setup is pending,资产建档待完成,
Asset setup is still pending,资产建档尚未完成,
Asset has not been created or linked yet,资产尚未创建或关联,
Create or link an Asset first.,请先创建或关联资产。,
Create or link an Asset before creating a Mold Alteration.,创建模具改模前请先创建或关联资产。,
Create or link the mold Asset first. Until then the lifecycle actions remain locked.,请先创建或关联模具资产。在此之前生命周期操作会保持锁定。,
Linking Asset...,正在关联资产...,
Creating Asset...,正在创建资产...,
Asset is required when linking an existing asset.,关联已有资产时必须选择资产。,
Asset Category is missing in Mold Management Settings.,模具管理设置中缺少资产类别。,
Asset Item must be configured in Mold Management Settings for this ownership type.,当前所有权类型必须在模具管理设置中配置资产物料。,
Asset Value must be set on the Mold before creating an Asset.,创建资产前必须先在模具上填写资产价值。,
Only the configured mold asset item and asset category are allowed. One asset cannot be linked to multiple molds.,仅允许使用已配置的模具资产物料和资产类别。同一资产不能关联多个模具。,
Unlink the linked Asset before deleting this mold.,删除该模具前请先取消关联资产。,
Status,状态,
Pending Asset Link,待关联资产,
Active,启用,
Issued,已领用,
Under Maintenance,维修中,
Under External Maintenance,外发维修中,
Outsourced,外发,
Scrapped,已报废,
Unknown,未知,
Current,当前,
Open,打开,
Cancelled,已取消,
Returned,已归还,
Current Holder / Destination,去向,
Current Location,当前位置,
Current Mold,当前模具,
Current Warehouse,当前仓库,
Current Storage Bin,当前储位,
Current Transaction Type,当前事务类型,
Current Transaction Ref,当前事务单号,
Current Shot Count,当前啤数,
Last Activity,最近活动,
Last Activity On,最近活动时间,
Last Transfer On,最近转移时间,
Last Issue On,最近领用时间,
Last Receipt On,最近归还时间,
Last Repair On,最近维修时间,
Last Maintenance On,最近保养时间,
Last Outsource On,最近外发时间,
Last Alteration On,最近改模时间,
Activity,活动,
Detail,详情,
Document,单据,
Date,日期,
Posting Time,过账时间,
Event Type,事件类型,
Status Change,状态变更,
From Status,原状态,
To Status,目标状态,
Own Mold Asset Item,自有模具资产物料,
Own Mold Asset Category,自有模具资产类别,
Customer Mold Asset Item,客户模具资产物料,
Customer Mold Asset Category,客户模具资产类别,
Ownership Type,所有权类型,
Ownership Mapping,所有权映射,
Company,公司,
Customer,客户,
Customer is required,必须填写客户,
Customer is required when ownership type is Customer.,当所有权类型为客户时，必须填写客户。,
Customer is required for customer outsource destinations.,外协目的地为客户时，必须填写客户。,
Company-owned molds need Asset Value before asset creation,公司自有模具在创建资产前需要填写资产价值,
Default Location,默认位置,
Default Warehouse,默认仓库,
Default Storage Bin,默认储位,
Default Mold Location,默认模具位置,
Default Mold Warehouse,默认模具仓库,
Default Mold Storage Bin,默认模具储位,
Default mold warehouse is recommended,建议设置默认模具仓库,
Default storage bin is empty,默认储位为空,
Available for Use Date,可投入使用日期,
Available-for-use Date should be after purchase date,可投入使用日期必须晚于采购日期,
Barcode,条码,
Barcode Center,条码中心,
Barcode Tools,条码工具,
Mold Barcode,模具条码,
Mold Barcode Center,模具条码中心,
Barcode value is required.,必须填写条码值。,
No Mold was found for barcode {0}.,未找到条码 {0} 对应的模具。,
Resolving Mold Barcode...,正在解析模具条码...,
Scan the mold label barcode or paste the Mold number directly.,请扫描模具标签条码，或直接粘贴模具编号。,
Barcode content uses Mold.name and can be scanned in mold lookup workflows.,条码内容使用模具编号，可用于模具查询流程扫码识别。,
Loaded Mold {0},已加载模具 {0},
Mold No.,模具编号,
Mold Labels,模具标签,
Storage,存放信息,
Storage Code,存放编码,
Storage Status,库位状态,
Storage Bin,储位,
Storage Slot,存放位,
Warehouse,仓库,
Location,位置,
To Warehouse,目标仓库,
To Location,目标位置,
To Storage Bin,目标储位,
From Warehouse,来源仓库,
From Location,来源位置,
From Storage Bin,来源储位,
Target Warehouse,目标仓库,
Target Location,目标位置,
Target Storage Bin,目标储位,
To Employee,目标员工,
Visible Slots,可见库位数,
Occupied,已占用,
Available,可用,
Submitted Molds,已提交模具数,
Main mold master records only,仅统计主模具主数据记录,
Ready for internal use,可供内部使用,
Pending Asset,待建资产,
Need create / link asset,需要创建/关联资产,
